acl 2.2.53-2
libsm 1.2.3-1
libsodium 1.0.18-1
libsoup 2.68.3-1
libssh2 1.9.0-2
libtasn1 4.15.0-1
libteam 1.30-1
libthai 0.1.28-1
libtiff 4.1.0-1
libtirpc 1.2.5-1
libtool 2.4.6+42+gb88cebd5-8
libu2f-host 1.1.10-2
libunistring 0.9.10-2
libunwind 1.3.1-1
libusb 1.0.23-2
libusb-compat 0.1.5-2
libusbmuxd 2.0.0-2
libutempter 1.1.6-3
libutil-linux 2.35-1
libvorbis 1.3.6-1
libwacom 1.2-1
libwbclient 4.10.10-2
libwnck3 3.32.0-2
libx11 1.6.9-6
libxau 1.0.9-2
libxaw 1.0.13-2
libxcb 1.13.1-1
libxcomposite 0.4.5-2
libxcursor 1.2.0-1
libxdamage 1.1.5-2
libxdmcp 1.1.3-2
libxext 1.3.4-2
libxfce4ui 4.14.1-2
libxfce4util 4.14.0-1
libxfixes 5.0.3-3
libxfont2 2.0.4-2
libxft 2.3.3-1
libxi 1.7.10-2
libxinerama 1.1.4-2
libxkbcommon 0.10.0-1
libxkbcommon-x11 0.10.0-1
libxkbfile 1.1.0-1
libxklavier 5.4-2
libxml2 2.9.10-1
libxmu 1.1.3-1
libxpm 3.5.13-1
libxpresent 1.0.0-2
libxrandr 1.5.2-2
libxrender 0.9.10-3
libxres 1.2.0-1
libxshmfence 1.3-1
libxt 1.2.0-1
libxtst 1.2.3-3
libxv 1.0.11-3
libxvmc 1.0.12-2
libxxf86vm 1.1.4-3
libyaml 0.2.2-1
licenses 20191011-2
lightdm 1:1.30.0-2
linux-api-headers 5.3.1-2
linux-atm 2.5.2-6
linux-firmware 20191220.6871bff-1
linux-lts 4.19.98-1
llvm-libs 9.0.1-1
lm_sensors 3.6.0-1
lmdb 0.9.24-1
localepurge 0.7.3.8-0
lrzip 0.631-2
lshw B.02.18-3
lsof 4.93.2-1
lsscsi 0.30-1
lua 5.3.5-2
lua51 5.1.5-8
lvm2 2.02.186-5
lz4 1:1.9.2-2
lzip 1.21-2
lzo 2.10-3
lzop 1.04-2
m4 1.4.18-3
man-db 2.9.0-1
man-pages 5.04-2
mc 4.8.23-1
md4c 0.4.2-1
mdadm 4.1-2
memtest86+ 5.01-3
memtester 4.3.0-4
mesa 19.3.2-2
mkinitcpio 27-2
mkinitcpio-busybox 1.31.1-1
mkinitcpio-nfs-utils 0.3-7
mlocate 0.26.git.20170220-2
mobile-broadband-provider-info 20190618-1
mpfr 4.0.2-2
ms-sys 1:2.6.0-1
mtdev 1.1.5-2
mtools 4.0.23-1
nano 4.7-1
nbd 3.20-1
ncdu 1.14.1-1
ncurses 6.1-7
ndisc6 1.0.4-1
net-tools 1.60.20181103git-2
netctl 1.20-2
nettle 3.5.1-2
network-manager-applet 1.8.24-1
networkmanager 1.22.4-1
networkmanager-openvpn 1.8.10-1
networkmanager-vpnc 1.2.7dev+20+gdca3aea-1
nfs-utils 2.4.2-1
nfsidmap 2.4.2-1
nilfs-utils 2.2.8-2
nm-connection-editor 1.8.24-1
nmap 7.80-1
npth 1.6-2
nspr 4.24-1
nss 3.49.2-1
ntfs-3g 2017.3.23-3
ntp 4.2.8.p13-2
nvme-cli 1.10.1-2
nwipe 0.26-1
openconnect 1:8.05-1
openresolv 3.9.2-2
openssh 8.1p1-2
openssl 1.1.1.d-2
openssl-1.0 1.0.2.t-1
openvpn 2.4.8-4
opus 1.3.1-1
p11-kit 0.23.19-1
p7zip 16.02-5
pacman 5.2.1-4
pacman-mirrorlist 20200103-1
pam 1.3.1-2
pambase 20190105.1-2
pango 1:1.44.7-1
pangomm 2.42.0-1
par2cmdline 0.8.0-2
partclone 0.3.12-1
parted 3.3-1
partimage 0.6.9-12
pbzip2 1.1.13-2
pciutils 3.6.2-2
pcre 8.43-2
pcre2 10.34-3
pcsclite 1.8.26-1
perl 5.30.1-1
perl-error 0.17028-1
perl-mailtools 2.21-2
perl-timedate 2.31-1
perl-uri 1.76-2
pigz 2.4-1
pinentry 1.1.0-5
pixman 0.38.4-1
pixz 1.0.6-2
pkcs11-helper 1.26.0-1
polkit 0.116-3
polkit-gnome 0.105-4
popt 1.16-12
ppp 2.4.7-6
pptpclient 1.10.0-2
procps-ng 3.3.15-2
progsreiserfs 0.3.0.5-9
psmisc 23.3-2
pv 1.6.6-2
python 3.8.1-4
python-appdirs 1.4.3-5
python-asn1crypto 1.3.0-1
python-cffi 1.13.2-2
python-click 7.0-3
python-cryptography 2.8-1
python-fido2 0.8.1-1
python-idna 2.8-3
python-ordered-set 3.1.1-1
python-packaging 20.0-1
python-ply 3.11-4
python-pycparser 2.19-3
python-pyopenssl 19.1.0-1
